_link,_link_releases,_link_main,id,title,description,status,value_amount,value_currency,submissionTerms_electronicSubmissionPolicy
0.releases.725.tender.lots.0,0.releases.725,0,1,supervision of Construction of Akayanza ( Nyagisozi Sector) and Rukonja ( Cyahinda Sector) Bridges,Supervision of bridges,active,15000000,RWF,allowed
0.releases.726.tender.lots.0,0.releases.726,0,1,Supply of MCS equipment's to be  used in Rwandan  Lakes,,active,200000000,RWF,allowed
0.releases.728.tender.lots.0,0.releases.728,0,1,"Hiring broadcasting media houses to provide NESA with Radio ,television and online services ( Under Framework contract)",Radio services ,active,2000000,RWF,allowed
0.releases.728.tender.lots.1,0.releases.728,0,2,"Hiring broadcasting media houses to provide NESA with Radio ,television and online services",Television services ,active,2000000,RWF,allowed
0.releases.728.tender.lots.2,0.releases.728,0,3,"Hiring broadcasting media houses to provide NESA with Radio ,television and online services",Online Media house services ,active,1000000,RWF,allowed
0.releases.729.tender.lots.0,0.releases.729,0,1,"Printing National Examination question papers ,answer booklets and other assessment materials of period three years",,active,3600000000,RWF,allowed
0.releases.730.tender.lots.0,0.releases.730,0,1,Supply of sand for construction of retaining walls in schools on framework contract of Gasabo District,,active,186377478,RWF,allowed
0.releases.730.tender.lots.1,0.releases.730,0,2,Supply of sand for construction of retaining walls in schools on framework contract of Kicukiro District,,active,27353427,RWF,allowed
0.releases.730.tender.lots.2,0.releases.730,0,3,Supply of sand for construction of retaining walls in schools on framework contract of Nyarugenge District,,active,37610962,RWF,allowed
0.releases.730.tender.lots.3,0.releases.730,0,1,Supply of sand for construction of retaining walls in schools on framework contract of Gasabo District,,active,186377478,RWF,allowed
0.releases.730.tender.lots.4,0.releases.730,0,2,Supply of sand for construction of retaining walls in schools on framework contract of Kicukiro District,,active,27353427,RWF,allowed
0.releases.730.tender.lots.5,0.releases.730,0,3,Supply of sand for construction of retaining walls in schools on framework contract of Nyarugenge District,,active,37610962,RWF,allowed
0.releases.731.tender.lots.0,0.releases.731,0,1,Supply of sand for construction of retaining walls in schools on framework contract of Gasabo District,,active,186377478,RWF,allowed
0.releases.731.tender.lots.1,0.releases.731,0,2,Supply of sand for construction of retaining walls in schools on framework contract of Kicukiro District,,active,27353427,RWF,allowed
0.releases.731.tender.lots.2,0.releases.731,0,3,Supply of sand for construction of retaining walls in schools on framework contract of Nyarugenge District,,active,37610962,RWF,allowed
0.releases.731.tender.lots.3,0.releases.731,0,1,Supply of sand for construction of retaining walls in schools on framework contract of Gasabo District,,active,186377478,RWF,allowed
0.releases.731.tender.lots.4,0.releases.731,0,2,Supply of sand for construction of retaining walls in schools on framework contract of Kicukiro District,,active,27353427,RWF,allowed
0.releases.731.tender.lots.5,0.releases.731,0,3,Supply of sand for construction of retaining walls in schools on framework contract of Nyarugenge District,,active,37610962,RWF,allowed
0.releases.732.tender.lots.0,0.releases.732,0,1,Provision of insurance services for City of  Kigali Assets,Provision of insurance services for City of Kigali Assets,active,8734800,RWF,allowed
0.releases.732.tender.lots.1,0.releases.732,0,1,Provision of insurance services for City of  Kigali Assets,Provision of insurance services for City of Kigali Assets,active,8734800,RWF,allowed
0.releases.733.tender.lots.0,0.releases.733,0,1,Supply of sand for construction of retaining walls in schools on framework contract of Gasabo District,,active,186377478,RWF,allowed
0.releases.733.tender.lots.1,0.releases.733,0,2,Supply of sand for construction of retaining walls in schools on framework contract of Kicukiro District,,active,27353427,RWF,allowed
0.releases.733.tender.lots.2,0.releases.733,0,3,Supply of sand for construction of retaining walls in schools on framework contract of Nyarugenge District,,active,37610962,RWF,allowed
0.releases.733.tender.lots.3,0.releases.733,0,1,Supply of sand for construction of retaining walls in schools on framework contract of Gasabo District,,active,186377478,RWF,allowed
0.releases.733.tender.lots.4,0.releases.733,0,2,Supply of sand for construction of retaining walls in schools on framework contract of Kicukiro District,,active,27353427,RWF,allowed
0.releases.733.tender.lots.5,0.releases.733,0,3,Supply of sand for construction of retaining walls in schools on framework contract of Nyarugenge District,,active,37610962,RWF,allowed
0.releases.734.tender.lots.0,0.releases.734,0,1,"Supply of construction materials, which includes the installation of electrical equipment and water tanks in schools of Gasabo District",,active,39041627,RWF,allowed
0.releases.734.tender.lots.1,0.releases.734,0,2,"Supply of construction materials, which includes the installation of electrical equipment and water tanks in schools of Kicukiro District",,active,52055503,RWF,allowed
0.releases.734.tender.lots.2,0.releases.734,0,3,"Supply of construction materials, which includes the installation of electrical equipment and water tanks in schools of Nyarugenge District",,active,115414043,RWF,allowed
0.releases.734.tender.lots.3,0.releases.734,0,1,"Supply of construction materials, which includes the installation of electrical equipment and water tanks in schools of Gasabo District",,active,39041627,RWF,allowed
0.releases.734.tender.lots.4,0.releases.734,0,2,"Supply of construction materials, which includes the installation of electrical equipment and water tanks in schools of Kicukiro District",,active,52055503,RWF,allowed
0.releases.734.tender.lots.5,0.releases.734,0,3,"Supply of construction materials, which includes the installation of electrical equipment and water tanks in schools of Nyarugenge District",,active,115414043,RWF,allowed
0.releases.735.tender.lots.0,0.releases.735,0,1,"Operationalization of Home Based ECD(HBECD)/porridge for 251HBECD (Gasab0:187, Kicukiro:19; Nyarugenge:45)",,active,108432000,RWF,allowed
0.releases.736.tender.lots.0,0.releases.736,0,1,Acquisition of Survey to Go questionnaires ,Acquisition of Survey to Go questionnaires ,active,5000000,RWF,allowed
0.releases.737.tender.lots.0,0.releases.737,0,1,LotNo1,,active,,,allowed
0.releases.738.tender.lots.0,0.releases.738,0,1,LotNo1,,active,,,allowed
0.releases.739.tender.lots.0,0.releases.739,0,1,Supply of IT training consumables,,active,25000000,RWF,allowed
