_link,_link_releases,_link_main,id,name,roles,identifier_scheme,identifier_id,identifier_legalName,address_streetAddress,address_locality,address_region,address_postalCode,address_countryName,contactPoint_name,contactPoint_email,contactPoint_telephone
0.releases.5.parties.4,0.releases.5,0,RW-RRA-SUPLR-739ec77b846ad913811cc124579cc44f902f83f5bd4e89256ff0e826ddb64ce4,WAPCOS LIMITED,tenderer,TIN,RW-RRA-SUPLR-739ec77b846ad913811cc124579cc44f902f83f5bd4e89256ff0e826ddb64ce4,WAPCOS LIMITED,"5th Floor, Kailash Building, 26 Kasturba Gandhi Marg, New Delhi, India",IND,,110001,India,Gurnam Singh Sodhy,rwanda@wapcos.co.in,"0792575621, 919953009217"
0.releases.6.parties.0,0.releases.6,0,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,"procuringEntity,buyer",TIN,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,KACYIRU,KACYIRU,KACYIRU,,Rwanda,Stephen RWAMULANGWA,stephen.rwamulangwa@rab.gov.rw,"0788305780, 0788305780, 0788305780"
0.releases.6.parties.1,0.releases.6,0,RW-RRA-SUPLR-8d5e30d3c4d9c4f4b5834a7f30acb5b61fdb2a409640dbc3cbe587f33fabc173,ECO-EXCELLENCE CONSULTANCY  LTD,tenderer,TIN,RW-RRA-SUPLR-8d5e30d3c4d9c4f4b5834a7f30acb5b61fdb2a409640dbc3cbe587f33fabc173,ECO-EXCELLENCE CONSULTANCY  LTD,KACYIRU,RWA,,3418,Rwanda,SONGA  SILVIN,mapetule1@gmail.com,"0788356191, 0783138786"
0.releases.6.parties.2,0.releases.6,0,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd,"supplier,tenderer",TIN,RW-RRA-SUPLR-48ef785520bcf70372c15775c7eee402e8e83625529effc51541a68377e835bc,BUREAU FOR ENGINEERING AND ENVIRONMENTAL STUDIES/BESST Ltd,"Kimironko- Gasabo, KG182, Martin Plaza, second Floor",RWA,,,Rwanda,HABAKUBAHO  Theogene,besst_ltd@yahoo.com,0788643982
0.releases.6.parties.3,0.releases.6,0,RW-RRA-SUPLR-09e69ba73a15f98dc8ef04239c939a799c92d4dd591c0784777bbbbc096b7a96,STANDARD BUILDERS COMPANY Ltd,tenderer,TIN,RW-RRA-SUPLR-09e69ba73a15f98dc8ef04239c939a799c92d4dd591c0784777bbbbc096b7a96,STANDARD BUILDERS COMPANY Ltd,KK 479 St 08,RWA,,,Rwanda,NIYIBIZI  Promesse,promesse08@gmail.com,"788474009, 781456956"
0.releases.6.parties.4,0.releases.6,0,RW-RRA-SUPLR-739ec77b846ad913811cc124579cc44f902f83f5bd4e89256ff0e826ddb64ce4,WAPCOS LIMITED,tenderer,TIN,RW-RRA-SUPLR-739ec77b846ad913811cc124579cc44f902f83f5bd4e89256ff0e826ddb64ce4,WAPCOS LIMITED,"5th Floor, Kailash Building, 26 Kasturba Gandhi Marg, New Delhi, India",IND,,110001,India,Gurnam Singh Sodhy,rwanda@wapcos.co.in,"0792575621, 919953009217"
0.releases.7.parties.0,0.releases.7,0,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,"buyer,procuringEntity",TIN,RW-RRA-PE-5ecfce6a8d6e9dcf67e5d78c8ab55b8cb821614a66bd01218158bf946ce24c6a,Commercialization and De Risking for Agricultural Transformation (CDAT) Project,KACYIRU,KACYIRU,KACYIRU,,Rwanda,Stephen RWAMULANGWA,stephen.rwamulangwa@rab.gov.rw,"0788305780, 0788305780, 0788305780"
0.releases.7.parties.1,0.releases.7,0,RW-RRA-SUPLR-4efc2064f6f6487eb502369ad4fa5fa9d8f6234785f528985feb110c438f4713,RURAL AND CIVIL ENGINEERS CONSULTANTS  LTD,tenderer,TIN,RW-RRA-SUPLR-4efc2064f6f6487eb502369ad4fa5fa9d8f6234785f528985feb110c438f4713,RURAL AND CIVIL ENGINEERS CONSULTANTS  LTD,"Kinamba road, SOAFAs house , 1 st floor",RWA,,340 kigali,Rwanda,MURENZI  Fernand,murenzifernand@yahoo.fr,"0788358911, 0788737866"
0.releases.7.parties.2,0.releases.7,0,RW-RRA-SUPLR-bfb6e45c187d8c8726d166fd4ba32b373df405fe5da7cfb825d83800baf3ea6e,EPOS COMPANY  LTD,tenderer,TIN,RW-RRA-SUPLR-bfb6e45c187d8c8726d166fd4ba32b373df405fe5da7cfb825d83800baf3ea6e,EPOS COMPANY  LTD,MASORO,RWA,,7454 kigali,Rwanda,RUKUNDO FIDELE,eposcompanyltd@gmail.com,"0789553210, 0788307380, 0783370842"
0.releases.7.parties.3,0.releases.7,0,RW-RRA-SUPLR-8dfec719ed3d324a629bf5ab368791ba6800d0b77bbbe2527423fc801f5810e7,E.M.P  LTD,tenderer,TIN,RW-RRA-SUPLR-8dfec719ed3d324a629bf5ab368791ba6800d0b77bbbe2527423fc801f5810e7,E.M.P  LTD,Remera KG 11 avenue,RWA,,1127 kigali,Rwanda,MUBIRIGI  Paul,emprwanda@gmail.com,0788300951
0.releases.8.parties.0,0.releases.8,0,RW-RRA-PE-394f495ffbbdd1bc1d1c5a91f84ca58731f1cd6dfae2072a3a76b37ed6f35be4,National Rehabilitation Service,"buyer,procuringEntity",TIN,RW-RRA-PE-394f495ffbbdd1bc1d1c5a91f84ca58731f1cd6dfae2072a3a76b37ed6f35be4,National Rehabilitation Service,KARONGI WESTERN PROVINCE,KARONGI WESTERN PROVINCE,KARONGI WESTERN PROVINCE,,Rwanda,MUFULUKYE Fred,fred.mufulukye@nrs.gov.rw,0788358589
0.releases.9.parties.0,0.releases.9,0,RW-RRA-PE-678041da94480955831dc98e32935e01864b34591d4be5b467a64d4fb2f0f789,Ministry of Trade and Industry  (MINICOM),"procuringEntity,buyer",TIN,RW-RRA-PE-678041da94480955831dc98e32935e01864b34591d4be5b467a64d4fb2f0f789,Ministry of Trade and Industry  (MINICOM),KK76,KK76,KK76,73,Rwanda,Antoine Kajangwe,a.kajangwe@minicom.gov.rw,0788318008
0.releases.9.parties.1,0.releases.9,0,RW-RRA-SUPLR-f1efb68989580bc01ee6e9142ac1538fc9cac0439bbdbc5d01b57d1057e150c9,Prospect Consultancy,tenderer,TIN,RW-RRA-SUPLR-f1efb68989580bc01ee6e9142ac1538fc9cac0439bbdbc5d01b57d1057e150c9,Prospect Consultancy,Addis Ababa,ETH,,,Ethiopia,Anteneh Muheye Yimam,anteneh2008@gmail.com,0911236845
0.releases.9.parties.2,0.releases.9,0,RW-RRA-SUPLR-886941ec924ee61b7d9f8cd11ccd84b377ece818cd36bcc9a148cd3a7f3b5357,SORWAFFA  LTD,tenderer,TIN,RW-RRA-SUPLR-886941ec924ee61b7d9f8cd11ccd84b377ece818cd36bcc9a148cd3a7f3b5357,SORWAFFA  LTD,KIGALI,RWA,,2867,Rwanda,UMUTONI  FRANCOISE,contrecoeur.ca@gmail.com,"0788305737, 0788643855"
0.releases.9.parties.3,0.releases.9,0,RW-RRA-SUPLR-e4522a5204de1e00d5cfc38ca7e300c4fed4fd5040b8e9baf0d313c6c5bcf681,GREENWISE CONSULT  LTD,tenderer,TIN,RW-RRA-SUPLR-e4522a5204de1e00d5cfc38ca7e300c4fed4fd5040b8e9baf0d313c6c5bcf681,GREENWISE CONSULT  LTD,Nyakabanda :,RWA,,5726,Rwanda,WAMUKUI  CHARLES,greenwiseconsult@gmail.com,0785039600
0.releases.9.parties.4,0.releases.9,0,RW-RRA-SUPLR-a3cfa2c8e6c87a1466b4a38322d4c5ae61a08578d0214369ad0876a188c28958,ANALYSIS GROUP RWANDA Ltd,tenderer,TIN,RW-RRA-SUPLR-a3cfa2c8e6c87a1466b4a38322d4c5ae61a08578d0214369ad0876a188c28958,ANALYSIS GROUP RWANDA Ltd,Kigali Rwanda,RWA,,6319,Rwanda,ABERE Irene Fabrice,analysisgrouprwanda@gmail.com,"0783869006, 0783869006, 0783869006"
0.releases.9.parties.5,0.releases.9,0,RW-RRA-SUPLR-822c09cc552968a2a5ddcfdec9a30bc90196409389b2888a5765480eee6f6b03,EDIFICE GROUP SARL,"supplier,tenderer",TIN,RW-RRA-SUPLR-822c09cc552968a2a5ddcfdec9a30bc90196409389b2888a5765480eee6f6b03,EDIFICE GROUP SARL,ABIDJAN COCODY,CIV,,,Cote DIvoire,TOURE GERMAIN  M'BIYO,edificegroup0@gmail.com,0788931019
0.releases.10.parties.0,0.releases.10,0,RW-RRA-PE-678041da94480955831dc98e32935e01864b34591d4be5b467a64d4fb2f0f789,Ministry of Trade and Industry  (MINICOM),"procuringEntity,buyer",TIN,RW-RRA-PE-678041da94480955831dc98e32935e01864b34591d4be5b467a64d4fb2f0f789,Ministry of Trade and Industry  (MINICOM),KK76,KK76,KK76,73,Rwanda,Antoine Kajangwe,a.kajangwe@minicom.gov.rw,0788318008
0.releases.10.parties.1,0.releases.10,0,RW-RRA-SUPLR-f1efb68989580bc01ee6e9142ac1538fc9cac0439bbdbc5d01b57d1057e150c9,Prospect Consultancy,tenderer,TIN,RW-RRA-SUPLR-f1efb68989580bc01ee6e9142ac1538fc9cac0439bbdbc5d01b57d1057e150c9,Prospect Consultancy,Addis Ababa,ETH,,,Ethiopia,Anteneh Muheye Yimam,anteneh2008@gmail.com,0911236845
0.releases.10.parties.2,0.releases.10,0,RW-RRA-SUPLR-886941ec924ee61b7d9f8cd11ccd84b377ece818cd36bcc9a148cd3a7f3b5357,SORWAFFA  LTD,tenderer,TIN,RW-RRA-SUPLR-886941ec924ee61b7d9f8cd11ccd84b377ece818cd36bcc9a148cd3a7f3b5357,SORWAFFA  LTD,KIGALI,RWA,,2867,Rwanda,UMUTONI  FRANCOISE,contrecoeur.ca@gmail.com,"0788305737, 0788643855"
0.releases.10.parties.3,0.releases.10,0,RW-RRA-SUPLR-e4522a5204de1e00d5cfc38ca7e300c4fed4fd5040b8e9baf0d313c6c5bcf681,GREENWISE CONSULT  LTD,tenderer,TIN,RW-RRA-SUPLR-e4522a5204de1e00d5cfc38ca7e300c4fed4fd5040b8e9baf0d313c6c5bcf681,GREENWISE CONSULT  LTD,Nyakabanda :,RWA,,5726,Rwanda,WAMUKUI  CHARLES,greenwiseconsult@gmail.com,0785039600
0.releases.10.parties.4,0.releases.10,0,RW-RRA-SUPLR-a3cfa2c8e6c87a1466b4a38322d4c5ae61a08578d0214369ad0876a188c28958,ANALYSIS GROUP RWANDA Ltd,tenderer,TIN,RW-RRA-SUPLR-a3cfa2c8e6c87a1466b4a38322d4c5ae61a08578d0214369ad0876a188c28958,ANALYSIS GROUP RWANDA Ltd,Kigali Rwanda,RWA,,6319,Rwanda,ABERE Irene Fabrice,analysisgrouprwanda@gmail.com,"0783869006, 0783869006, 0783869006"
0.releases.10.parties.5,0.releases.10,0,RW-RRA-SUPLR-822c09cc552968a2a5ddcfdec9a30bc90196409389b2888a5765480eee6f6b03,EDIFICE GROUP SARL,"supplier,tenderer",TIN,RW-RRA-SUPLR-822c09cc552968a2a5ddcfdec9a30bc90196409389b2888a5765480eee6f6b03,EDIFICE GROUP SARL,ABIDJAN COCODY,CIV,,,Cote DIvoire,TOURE GERMAIN  M'BIYO,edificegroup0@gmail.com,0788931019
0.releases.11.parties.0,0.releases.11,0,RW-RRA-PE-46952058e62fea68a8fcec6a77547ef2bfa48baeab15ea674cd7ed432d58a25d,NESA SPIU,"procuringEntity,buyer",TIN,RW-RRA-PE-46952058e62fea68a8fcec6a77547ef2bfa48baeab15ea674cd7ed432d58a25d,NESA SPIU,GASABO-KIMIRONKO-NYAGATOVU-BUKINANYANA,GASABO-KIMIRONKO-NYAGATOVU-BUKINANYANA,GASABO-KIMIRONKO-NYAGATOVU-BUKINANYANA,"1382 Kigali, Rwanda",Rwanda,Dr.BAHATI Bernard,info@nesa.gov.rw,0784677308
0.releases.11.parties.1,0.releases.11,0,RW-RRA-SUPLR-86c17fed71f3304acaf4f9cb2e99c4cb4387f466eca6db6b0cd7922a1e268078,CERFODES UGANDA LIMITED,tenderer,TIN,RW-RRA-SUPLR-86c17fed71f3304acaf4f9cb2e99c4cb4387f466eca6db6b0cd7922a1e268078,CERFODES UGANDA LIMITED,"GEORGE COURTS, HANNINGTON ROAD NAKASERO, KAMPALA-UGANDA",UGA,,9051,Uganda,LAMINE NTAMBI SANOGO,info@cerfodes.com,256761061954
0.releases.11.parties.2,0.releases.11,0,RW-RRA-SUPLR-420d0651f50e0e4b69f58dbb8a9398649f1522fc3151739e82d17235a5ea7eac,NK CONSULTANCY GROUP. Ltd,tenderer,TIN,RW-RRA-SUPLR-420d0651f50e0e4b69f58dbb8a9398649f1522fc3151739e82d17235a5ea7eac,NK CONSULTANCY GROUP. Ltd,Kabeza -Kigali,RWA,,,Rwanda,KABAYIZA  Innocent,jujukaba@yahoo.com,0787640574
0.releases.11.parties.3,0.releases.11,0,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd,"supplier,tenderer",TIN,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd,"Kimironko,Gasabo,Umujyi wa Kigali",RWA,,,Rwanda,Josephine MUSHIMIYIMANA KALINDA,faithcontractors2529@gmail.com,0783111761
0.releases.11.parties.4,0.releases.11,0,RW-RRA-SUPLR-123211bb321375bb91583b2955284d8a6efb8e9e71f948bad1aa29f9f7354da8,Education Development Trust,tenderer,TIN,RW-RRA-SUPLR-123211bb321375bb91583b2955284d8a6efb8e9e71f948bad1aa29f9f7354da8,Education Development Trust,"Kimihurura, Gasabo Kigali-Rwanda",GBR,,,United Kingdom,Jean-Pierre Mugiraneza,jmugiraneza@edt.org,0788619277
0.releases.11.parties.5,0.releases.11,0,RW-RRA-SUPLR-26ad73331e1e09eb1db2ce44b5cc5e0cfc9611925b1e3ab6c3a6665253705124,EDUCATION DEVELOPMENT CONSULT Ltd,tenderer,TIN,RW-RRA-SUPLR-26ad73331e1e09eb1db2ce44b5cc5e0cfc9611925b1e3ab6c3a6665253705124,EDUCATION DEVELOPMENT CONSULT Ltd,"Kigali City, Gasabo District, Umuyenzi Plaza 3rd floor KG 5RD",RWA,,3140,Rwanda,CYPRIEN  BUNANI,bunanicyprien01@gmail.com,"783870707, 0788944303"
0.releases.11.parties.6,0.releases.11,0,RW-RRA-SUPLR-74c7da47f15fdeb2d91a0e99bbdff5168ec2deeb48a56da5b7eafdb91084e1de,Pazel Conroy Consulting Ltd,tenderer,TIN,RW-RRA-SUPLR-74c7da47f15fdeb2d91a0e99bbdff5168ec2deeb48a56da5b7eafdb91084e1de,Pazel Conroy Consulting Ltd,"11, Archer Road, 3rd Floor, UNICALO House, Lower Kololo Terrace, Kampala",UGA,,,Uganda,MELODY NIWAMANYA,melodyniwamanya1@gmail.com,256392174707
0.releases.12.parties.0,0.releases.12,0,RW-RRA-PE-46952058e62fea68a8fcec6a77547ef2bfa48baeab15ea674cd7ed432d58a25d,NESA SPIU,"procuringEntity,buyer",TIN,RW-RRA-PE-46952058e62fea68a8fcec6a77547ef2bfa48baeab15ea674cd7ed432d58a25d,NESA SPIU,GASABO-KIMIRONKO-NYAGATOVU-BUKINANYANA,GASABO-KIMIRONKO-NYAGATOVU-BUKINANYANA,GASABO-KIMIRONKO-NYAGATOVU-BUKINANYANA,"1382 Kigali, Rwanda",Rwanda,Dr.BAHATI Bernard,info@nesa.gov.rw,0784677308
0.releases.12.parties.1,0.releases.12,0,RW-RRA-SUPLR-86c17fed71f3304acaf4f9cb2e99c4cb4387f466eca6db6b0cd7922a1e268078,CERFODES UGANDA LIMITED,tenderer,TIN,RW-RRA-SUPLR-86c17fed71f3304acaf4f9cb2e99c4cb4387f466eca6db6b0cd7922a1e268078,CERFODES UGANDA LIMITED,"GEORGE COURTS, HANNINGTON ROAD NAKASERO, KAMPALA-UGANDA",UGA,,9051,Uganda,LAMINE NTAMBI SANOGO,info@cerfodes.com,256761061954
0.releases.12.parties.2,0.releases.12,0,RW-RRA-SUPLR-420d0651f50e0e4b69f58dbb8a9398649f1522fc3151739e82d17235a5ea7eac,NK CONSULTANCY GROUP. Ltd,tenderer,TIN,RW-RRA-SUPLR-420d0651f50e0e4b69f58dbb8a9398649f1522fc3151739e82d17235a5ea7eac,NK CONSULTANCY GROUP. Ltd,Kabeza -Kigali,RWA,,,Rwanda,KABAYIZA  Innocent,jujukaba@yahoo.com,0787640574
0.releases.12.parties.3,0.releases.12,0,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd,"supplier,tenderer",TIN,RW-RRA-SUPLR-a2f69e85fb06ea690f029000d5af70e7149897e1a7bc32ccc6af090415803d1f,FAITH CONTRACTORS Ltd,"Kimironko,Gasabo,Umujyi wa Kigali",RWA,,,Rwanda,Josephine MUSHIMIYIMANA KALINDA,faithcontractors2529@gmail.com,0783111761
0.releases.12.parties.4,0.releases.12,0,RW-RRA-SUPLR-123211bb321375bb91583b2955284d8a6efb8e9e71f948bad1aa29f9f7354da8,Education Development Trust,tenderer,TIN,RW-RRA-SUPLR-123211bb321375bb91583b2955284d8a6efb8e9e71f948bad1aa29f9f7354da8,Education Development Trust,"Kimihurura, Gasabo Kigali-Rwanda",GBR,,,United Kingdom,Jean-Pierre Mugiraneza,jmugiraneza@edt.org,0788619277
