_link,_link_releases,_link_main,id,relationship,title,scheme,identifier
0.releases.3098.relatedProcesses.0,0.releases.3098,0,P000060/2025/2026/5000000000,planning,Sport and Recreation for District and Sectors staff under framework agreement,ocid,ocds-ozzobm-P000060/2025/2026/5000000000
0.releases.3099.relatedProcesses.0,0.releases.3099,0,P000003/2023/2024/1414000000,planning,Supply of stationery and computer consumables,ocid,ocds-ozzobm-P000003/2023/2024/1414000000
0.releases.3100.relatedProcesses.0,0.releases.3100,0,P000022/2025/2026/2313000000,planning,"Provision of hotel services (hiring of conference halls, workshops, trainings, accommodations, restaurants and receptions outside of Kigali (framework contract)",ocid,ocds-ozzobm-P000022/2025/2026/2313000000
0.releases.3101.relatedProcesses.0,0.releases.3101,0,P000003/2024/2025/1806000000,planning,"Provision of cleaning, dry cleaning and fumigation services under framework contract",ocid,ocds-ozzobm-P000003/2024/2025/1806000000
0.releases.3102.relatedProcesses.0,0.releases.3102,0,P000003/2024/2025/1806000000,planning,"Provision of cleaning, dry cleaning and fumigation services under framework contract",ocid,ocds-ozzobm-P000003/2024/2025/1806000000
0.releases.3103.relatedProcesses.0,0.releases.3103,0,P000103/2025/2026/1601000000,planning,Supply of office furniture,ocid,ocds-ozzobm-P000103/2025/2026/1601000000
0.releases.3104.relatedProcesses.0,0.releases.3104,0,P000025/2025/2026/1306000000,planning,PROVISION OF DIFFERENT SERVICES FOR RIB EVENTS,ocid,ocds-ozzobm-P000025/2025/2026/1306000000
0.releases.3105.relatedProcesses.0,0.releases.3105,0,P000003/2025/2026/1602000000,planning,Acquisition of sports equipment,ocid,ocds-ozzobm-P000003/2025/2026/1602000000
0.releases.3106.relatedProcesses.0,0.releases.3106,0,P000079/2024/2025/1903000000,planning,Framework tender for USSD and SMS service provision,ocid,ocds-ozzobm-P000079/2024/2025/1903000000
0.releases.3107.relatedProcesses.0,0.releases.3107,0,P000028/2025/2026/4700000000,planning,"Annual framework tender for maintenance and assembly service of office equipments,chairs,table for Huye District",ocid,ocds-ozzobm-P000028/2025/2026/4700000000
0.releases.3108.relatedProcesses.0,0.releases.3108,0,P000154/2025/2026/1804000000,planning,Detailed study update and subsequent supervision for construction works of Rubengera Meteo Weather Station,ocid,ocds-ozzobm-P000154/2025/2026/1804000000
0.releases.3109.relatedProcesses.0,0.releases.3109,0,P000080/2025/2026/0901000000,planning,"Supply of Specialized equipment in poultry, pig, and Rabbit",ocid,ocds-ozzobm-P000080/2025/2026/0901000000
0.releases.3110.relatedProcesses.0,0.releases.3110,0,P000020/2025/2026/0901000000,planning,Consultancy services for hiring VSM firms to conduct Live animals’ inspection at Kigali International Airport,ocid,ocds-ozzobm-P000020/2025/2026/0901000000
0.releases.3111.relatedProcesses.0,0.releases.3111,0,P000029/2025/2026/5300003001,planning,Tender for organise Genocide Commemorative Ceremonies and other ceremonies,ocid,ocds-ozzobm-P000029/2025/2026/5300003001
0.releases.3112.relatedProcesses.0,0.releases.3112,0,P000029/2025/2026/5300003001,planning,Tender for organise Genocide Commemorative Ceremonies and other ceremonies,ocid,ocds-ozzobm-P000029/2025/2026/5300003001
0.releases.3113.relatedProcesses.0,0.releases.3113,0,P000004/2024/2025/0300000000,planning,Provision of Hotel Services to the Chamber of Deputies,ocid,ocds-ozzobm-P000004/2024/2025/0300000000
0.releases.3114.relatedProcesses.0,0.releases.3114,0,P000067/2025/2026/1804000000,planning,Construction Works of Gicumbi METEO Weather Station,ocid,ocds-ozzobm-P000067/2025/2026/1804000000
0.releases.3115.relatedProcesses.0,0.releases.3115,0,P000087/2025/2026/5300000000,planning,Supply of productive assets for skills development ( toolkits),ocid,ocds-ozzobm-P000087/2025/2026/5300000000
0.releases.3116.relatedProcesses.0,0.releases.3116,0,P000087/2025/2026/5300000000,planning,Supply of productive assets for skills development ( toolkits),ocid,ocds-ozzobm-P000087/2025/2026/5300000000
0.releases.3117.relatedProcesses.0,0.releases.3117,0,P000202/2025/2026/1203000000,planning,"Annual supply and installation of office furnitures to RRA, meeting and conference furniture (Framework contract).",ocid,ocds-ozzobm-P000202/2025/2026/1203000000
0.releases.3118.relatedProcesses.0,0.releases.3118,0,P000019/2025/2026/6200000000,planning,Full feasibility study for rehabilitation works of Miyove Health Center in Gicumbi District,ocid,ocds-ozzobm-P000019/2025/2026/6200000000
0.releases.3119.relatedProcesses.0,0.releases.3119,0,P000087/2025/2026/0901000000,planning,Insurance of mobile dryers,ocid,ocds-ozzobm-P000087/2025/2026/0901000000
0.releases.3120.relatedProcesses.0,0.releases.3120,0,P000034/2025/2026/2204000000,planning,Develop sector level flood / storm contingency plans and develop response matrices at community level,ocid,ocds-ozzobm-P000034/2025/2026/2204000000
0.releases.3121.relatedProcesses.0,0.releases.3121,0,P000029/2025/2026/5300003001,planning,Tender for organise Genocide Commemorative Ceremonies and other ceremonies,ocid,ocds-ozzobm-P000029/2025/2026/5300003001
0.releases.3122.relatedProcesses.0,0.releases.3122,0,P000043/2025/2026/6100000000,planning,Annual framework of Consultancy Services for carrying out and provision of the Environmental and Social Impact Assessment (EIA) for Different Construction Projects,ocid,ocds-ozzobm-P000043/2025/2026/6100000000
0.releases.3123.relatedProcesses.0,0.releases.3123,0,P000043/2025/2026/6100000000,planning,Annual framework of Consultancy Services for carrying out and provision of the Environmental and Social Impact Assessment (EIA) for Different Construction Projects,ocid,ocds-ozzobm-P000043/2025/2026/6100000000
0.releases.3124.relatedProcesses.0,0.releases.3124,0,P000074/2025/2026/1605000000,planning,Provision of Electricity,ocid,ocds-ozzobm-P000074/2025/2026/1605000000
0.releases.3125.relatedProcesses.0,0.releases.3125,0,P000074/2025/2026/1605000000,planning,Provision of Electricity,ocid,ocds-ozzobm-P000074/2025/2026/1605000000
0.releases.3126.relatedProcesses.0,0.releases.3126,0,P000004/2024/2025/0300000000,planning,Provision of Hotel Services to the Chamber of Deputies,ocid,ocds-ozzobm-P000004/2024/2025/0300000000
0.releases.3127.relatedProcesses.0,0.releases.3127,0,P000043/2025/2026/6100000000,planning,Annual framework of Consultancy Services for carrying out and provision of the Environmental and Social Impact Assessment (EIA) for Different Construction Projects,ocid,ocds-ozzobm-P000043/2025/2026/6100000000
0.releases.3128.relatedProcesses.0,0.releases.3128,0,P000001/2025/2026/1421000000,planning,Supply of Office Stationaries for NESA staff under Framework agreement,ocid,ocds-ozzobm-P000001/2025/2026/1421000000
0.releases.3129.relatedProcesses.0,0.releases.3129,0,P000046/2025/2026/4200000000,planning,Supply and fix windows and doors in Classrooms with house furniture,ocid,ocds-ozzobm-P000046/2025/2026/4200000000
0.releases.3130.relatedProcesses.0,0.releases.3130,0,P000004/2024/2025/0300000000,planning,Provision of Hotel Services to the Chamber of Deputies,ocid,ocds-ozzobm-P000004/2024/2025/0300000000
