_link,_link_releases,_link_releases_contracts,_link_main,id,date,description,rationale
0.releases.26.contracts.0.amendments.1,0.releases.26,0.releases.26.contracts.0,0,ocds-ozzobm-000004/NC/NCB/2023/2024/2204000000-CP-110120250949-R1OsL1eLHj,2025-01-11T09:49:55Z,"THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”
and 
FEZA GALLERY SHOP Ltd, a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie, telephone 0783101826, the Managing Director of the company; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda to Hire a company to provide weather TV presenter outfit of 11th January 2024 (original contract) 

Referring to the minutes of The Internal Tender Committee dated 07/01/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:

Article 1: Term and Duration of the Contract 

Article 1.3 in General conditions and  GGC 1.2 in Special Conditions of the initial contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda for  Hire a company to provide weather TV presenter outfit signed on 11/01/2024 (Original Contract) is hereby modified and complemented as follows: 
The contract duration is extended/renewed with a period of one year/12 months effective from 12/01/2025

Article 2: Provisions of original contract

The initial contract made a part of this contract amendment and its unchanged provisions remain valid.








","THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”
and 
FEZA GALLERY SHOP Ltd, a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie, telephone 0783101826, the Managing Director of the company; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda to Hire a company to provide weather TV presenter outfit of 11th January 2024 (original contract) 

Referring to the minutes of The Internal Tender Committee dated 07/01/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:

Article 1: Term and Duration of the Contract 

Article 1.3 in General conditions and  GGC 1.2 in Special Conditions of the initial contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda for  Hire a company to provide weather TV presenter outfit signed on 11/01/2024 (Original Contract) is hereby modified and complemented as follows: 
The contract duration is extended/renewed with a period of one year/12 months effective from 12/01/2025

Article 2: Provisions of original contract

The initial contract made a part of this contract amendment and its unchanged provisions remain valid.








"
0.releases.27.contracts.0.amendments.0,0.releases.27,0.releases.27.contracts.0,0,ocds-ozzobm-000004/NC/NCB/2023/2024/2204000000-CP-251220250931-ypEoueieyp,2025-12-25T09:31:48Z,"THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by  GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”

and 
FEZA GALERY SHOP Ltd , a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie , telephone: 0783101826, the Director General; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda for Hiring a company to provide TV weather presenter outfit of 12th 01/2024 (original contract) and its subsequent amendments;
Referring to the minutes of The Internal Tender Committee dated 17/12/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:
Article 1: The contract duration
The article 1.2 GCC of the 1st amendment contract for Framework for Hiring a company to provide TV weather presenter outfit of 12th  January 2024 modifying the Article 1.2 GCC  of the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda between Meteo Rwanda and FEZA GALERY SHOP Ltd of 12th January 2024 (original contract), is hereby modified as follows: 

The contract duration is twelve (12) months effective from 12/01/2026
Article 2: Provisions of original contract
The other provisions of the original contract and of its 1st amendment made a part of this contract and are valid for the period mentioned in article one of this contract.








","THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by  GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”

and 
FEZA GALERY SHOP Ltd , a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie , telephone: 0783101826, the Director General; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda for Hiring a company to provide TV weather presenter outfit of 12th 01/2024 (original contract) and its subsequent amendments;
Referring to the minutes of The Internal Tender Committee dated 17/12/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:
Article 1: The contract duration
The article 1.2 GCC of the 1st amendment contract for Framework for Hiring a company to provide TV weather presenter outfit of 12th  January 2024 modifying the Article 1.2 GCC  of the contract No 000004/NC/NCB/2023/2024/Meteo Rwanda between Meteo Rwanda and FEZA GALERY SHOP Ltd of 12th January 2024 (original contract), is hereby modified as follows: 

The contract duration is twelve (12) months effective from 12/01/2026
Article 2: Provisions of original contract
The other provisions of the original contract and of its 1st amendment made a part of this contract and are valid for the period mentioned in article one of this contract.








"
0.releases.27.contracts.0.amendments.1,0.releases.27,0.releases.27.contracts.0,0,ocds-ozzobm-000004/NC/NCB/2023/2024/2204000000-CP-110120250949-2RwEPoh21j,2025-01-11T09:49:55Z,"THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”
and 
FEZA GALLERY SHOP Ltd, a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie, telephone 0783101826, the Managing Director of the company; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda to Hire a company to provide weather TV presenter outfit of 11th January 2024 (original contract) 

Referring to the minutes of The Internal Tender Committee dated 07/01/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:

Article 1: Term and Duration of the Contract 

Article 1.3 in General conditions and  GGC 1.2 in Special Conditions of the initial contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda for  Hire a company to provide weather TV presenter outfit signed on 11/01/2024 (Original Contract) is hereby modified and complemented as follows: 
The contract duration is extended/renewed with a period of one year/12 months effective from 12/01/2025

Article 2: Provisions of original contract

The initial contract made a part of this contract amendment and its unchanged provisions remain valid.








","THIS AMENDMENT CONTRACT Hereinafter referred to as the “Contract” is entered into by and between the Meteo Rwanda represented by GAHIGI Aimable, the Director General,  Hereinafter referred to as the “Procuring Entity”
and 
FEZA GALLERY SHOP Ltd, a company incorporated in Rwanda under the Registry number 103286803 Represented by MUKANYARWAYA Euphrasie, telephone 0783101826, the Managing Director of the company; Hereinafter referred to as the “ Supplier”. 
WHEREAS the Parties entered into the contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda to Hire a company to provide weather TV presenter outfit of 11th January 2024 (original contract) 

Referring to the minutes of The Internal Tender Committee dated 07/01/2025 that recommended to renewal/extend the above mentioned contract with a period of one year/12months;
The parties, for good consideration, hereby agree to modify/amend the contract as follows:

Article 1: Term and Duration of the Contract 

Article 1.3 in General conditions and  GGC 1.2 in Special Conditions of the initial contract No 00-000004/NC/NCB/2023/2024/Meteo Rwanda for  Hire a company to provide weather TV presenter outfit signed on 11/01/2024 (Original Contract) is hereby modified and complemented as follows: 
The contract duration is extended/renewed with a period of one year/12 months effective from 12/01/2025

Article 2: Provisions of original contract

The initial contract made a part of this contract amendment and its unchanged provisions remain valid.








"
0.releases.30.contracts.0.amendments.0,0.releases.30,0.releases.30.contracts.0,0,ocds-ozzobm-000004/G/ICB/2022/2023/1903001001-CP-301220251613-1PyJSKbcV1,2025-12-30T16:13:22Z,"Contract Amendment No. 1 is intended to modify the Initial Contract to reflect the following changes:

• Approval of a six-month no-cost extension of the Contract period, from 08 November 2025 to 08 May 2026.
• Formal approval of the change in the Contractor’s legal name to TOPPAN SECURITY LIMITED.
• Approval of the application of 18% VAT on supplied and pending deliveries amounting to EUR 141,104.70, to be added to the Initial Contract amount of EUR 2,092,430, thereby revising the total Contract value to EUR 2,233,534.70 pursuant to GCC 31.1""Change in Laws and Regulations""","Contract Amendment No. 1 is intended to modify the Initial Contract to reflect the following changes:

• Approval of a six-month no-cost extension of the Contract period, from 08 November 2025 to 08 May 2026.
• Formal approval of the change in the Contractor’s legal name to TOPPAN SECURITY LIMITED.
• Approval of the application of 18% VAT on supplied and pending deliveries amounting to EUR 141,104.70, to be added to the Initial Contract amount of EUR 2,092,430, thereby revising the total Contract value to EUR 2,233,534.70 pursuant to GCC 31.1""Change in Laws and Regulations"""
0.releases.31.contracts.0.amendments.0,0.releases.31,0.releases.31.contracts.0,0,ocds-ozzobm-000011/G/ICB/2023/2024/1903001001-CP-291220251905-TzjIqmxwWz,2025-12-29T19:05:34Z,"Contract Amendment No. 1 is intended to modify the Initial Contract to reflect the following changes:

Approval of a twelve (12) weeks no-cost extension of the contract period, from 14 December 2025 to 12 March 2026.
Formal approval of the change of delivery location to REB and RTB offices instead of the initially designated schools, pursuant to GCC Clause 26.2.
","Contract Amendment No. 1 is intended to modify the Initial Contract to reflect the following changes:

Approval of a twelve (12) weeks no-cost extension of the contract period, from 14 December 2025 to 12 March 2026.
Formal approval of the change of delivery location to REB and RTB offices instead of the initially designated schools, pursuant to GCC Clause 26.2.
"
0.releases.31.contracts.0.amendments.1,0.releases.31,0.releases.31.contracts.0,0,ocds-ozzobm-000011/G/ICB/2023/2024/1903001001-CP-311220251138-AfTPHwXBQz,2025-12-31T11:38:08Z,"Contract Amendment No. 1 is intended to modify the Initial Contract to reflect the following changes:

Approval of a twelve (12) weeks no-cost extension of the contract period, from 14 December 2025 to 12 March 2026.
Formal approval of the change of delivery location to REB and RTB offices instead of the initially designated schools, pursuant to GCC Clause 26.2.
","Contract Amendment No. 1 is intended to modify the Initial Contract to reflect the following changes:

Approval of a twelve (12) weeks no-cost extension of the contract period, from 14 December 2025 to 12 March 2026.
Formal approval of the change of delivery location to REB and RTB offices instead of the initially designated schools, pursuant to GCC Clause 26.2.
"
0.releases.32.contracts.0.amendments.0,0.releases.32,0.releases.32.contracts.0,0,ocds-ozzobm-000001/C/ICB/2023/2024/7000000000-CP-020120262046-jdz1DxQDde,2026-01-02T20:46:06Z,The duration of the Main Contract and its extension is extended to 31st April 2026 at no additional cost. ,The duration of the Main Contract and its extension is extended to 31st April 2026 at no additional cost. 
0.releases.32.contracts.0.amendments.1,0.releases.32,0.releases.32.contracts.0,0,ocds-ozzobm-000001/C/ICB/2023/2024/7000000000-CP-021220251307-BHF8wSORvY,2025-12-02T13:07:54Z,The duration of the Main Contract is extended to 31st December 2025. ,The duration of the Main Contract is extended to 31st December 2025. 
0.releases.32.contracts.0.amendments.2,0.releases.32,0.releases.32.contracts.0,0,ocds-ozzobm-000001/C/ICB/2023/2024/7000000000-CP-141120250958-oX1V54QlDZ,2025-11-14T09:58:12Z,The duration of the Main Contract is extended to 31st December 2025. ,The duration of the Main Contract is extended to 31st December 2025. 
0.releases.33.contracts.0.amendments.0,0.releases.33,0.releases.33.contracts.0,0,ocds-ozzobm-000001/C/ICB/2023/2024/7000000000-CP-020120262046-WxIMH80y3V,2026-01-02T20:46:06Z,The duration of the Main Contract and its extension is extended to 31st April 2026 at no additional cost. ,The duration of the Main Contract and its extension is extended to 31st April 2026 at no additional cost. 
0.releases.33.contracts.0.amendments.1,0.releases.33,0.releases.33.contracts.0,0,ocds-ozzobm-000001/C/ICB/2023/2024/7000000000-CP-021220251307-Q7jMDlbAqZ,2025-12-02T13:07:54Z,The duration of the Main Contract is extended to 31st December 2025. ,The duration of the Main Contract is extended to 31st December 2025. 
0.releases.33.contracts.0.amendments.2,0.releases.33,0.releases.33.contracts.0,0,ocds-ozzobm-000001/C/ICB/2023/2024/7000000000-CP-141120250958-ebTydrMkpw,2025-11-14T09:58:12Z,The duration of the Main Contract is extended to 31st December 2025. ,The duration of the Main Contract is extended to 31st December 2025. 
0.releases.34.contracts.0.amendments.0,0.releases.34,0.releases.34.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-020120262042-3GynOja9IO,2026-01-02T20:42:25Z,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost ,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost 
0.releases.34.contracts.0.amendments.1,0.releases.34,0.releases.34.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-220820241759-tMxGrvMl4V,2024-08-22T17:59:08Z,The duration of the Main Contract is extended to 30th/03/2025,The duration of the Main Contract is extended to 30th/03/2025
0.releases.34.contracts.0.amendments.2,0.releases.34,0.releases.34.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-280320251548-uf9G3kj6wJ,2025-03-28T15:48:49Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025"
0.releases.34.contracts.0.amendments.3,0.releases.34,0.releases.34.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-290720240908-uyUVGRjjpf,2024-07-29T09:08:59Z,The duration of the Main Contract is extended to 30th/03/2025,The duration of the Main Contract is extended to 30th/03/2025
0.releases.34.contracts.0.amendments.4,0.releases.34,0.releases.34.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-231020251029-BpX1J9VVMi,2025-10-23T10:29:32Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025"
0.releases.34.contracts.0.amendments.5,0.releases.34,0.releases.34.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-031120251305-RdXxYKZIGk,2025-11-03T13:05:15Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025"
0.releases.34.contracts.0.amendments.6,0.releases.34,0.releases.34.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-210420251051-DwbFknOzou,2025-04-21T10:51:08Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025"
0.releases.35.contracts.0.amendments.0,0.releases.35,0.releases.35.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-020120262042-w4EXPE3WPA,2026-01-02T20:42:25Z,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost ,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost 
0.releases.35.contracts.0.amendments.1,0.releases.35,0.releases.35.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-220820241759-MmyD1hNLAM,2024-08-22T17:59:08Z,The duration of the Main Contract is extended to 30th/03/2025,The duration of the Main Contract is extended to 30th/03/2025
0.releases.35.contracts.0.amendments.2,0.releases.35,0.releases.35.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-280320251548-5q6ADsBe5i,2025-03-28T15:48:49Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025"
0.releases.35.contracts.0.amendments.3,0.releases.35,0.releases.35.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-290720240908-IFB3P2AMZc,2024-07-29T09:08:59Z,The duration of the Main Contract is extended to 30th/03/2025,The duration of the Main Contract is extended to 30th/03/2025
0.releases.35.contracts.0.amendments.4,0.releases.35,0.releases.35.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-231020251029-6AsacsRrGv,2025-10-23T10:29:32Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025"
0.releases.35.contracts.0.amendments.5,0.releases.35,0.releases.35.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-031120251305-r18tlzguyN,2025-11-03T13:05:15Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025"
0.releases.35.contracts.0.amendments.6,0.releases.35,0.releases.35.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-210420251051-DvBIPReBab,2025-04-21T10:51:08Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025"
0.releases.44.contracts.0.amendments.0,0.releases.44,0.releases.44.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-020120262042-XxuvVpO9ml,2026-01-02T20:42:25Z,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost ,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost 
0.releases.44.contracts.0.amendments.1,0.releases.44,0.releases.44.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-030120261009-urNMHwME22,2026-01-03T10:09:59Z,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost ,The duration of the Main Contract and it's amendments is extended to 31/03/2026 at no additional cost 
0.releases.44.contracts.0.amendments.2,0.releases.44,0.releases.44.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-280320251548-qjXCOCHTlS,2025-03-28T15:48:49Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025"
0.releases.44.contracts.0.amendments.3,0.releases.44,0.releases.44.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-210420251051-GgjiguW2x3,2025-04-21T10:51:08Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025"
0.releases.44.contracts.0.amendments.4,0.releases.44,0.releases.44.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-290720240908-KukJgDoAxQ,2024-07-29T09:08:59Z,The duration of the Main Contract is extended to 30th/03/2025,The duration of the Main Contract is extended to 30th/03/2025
0.releases.44.contracts.0.amendments.5,0.releases.44,0.releases.44.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-031120251305-vn19fDLZ7V,2025-11-03T13:05:15Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025"
0.releases.44.contracts.0.amendments.6,0.releases.44,0.releases.44.contracts.0,0,ocds-ozzobm-000002/C/ICB/2021/2022/7000000000-CP-231020251029-uIs7ZBVXJ2,2025-10-23T10:29:32Z,"The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025","The duration of the Main Contract is extended to 30th/03/2025
The duration of the Main Contract is extended to 29th/10/2025
The duration of the Main Contract and it's amendment is extended to 31st December 2025"
